type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_ask,side,time,trade_id,last_size,predX,predDX,policy,algoType
ticker,21799760833,BTC-USD,48128.31,54961.08,71009.20641729,44888.08,55043.63,854297.44671676,48128.30,48128.31,buy,2021-02-23T21:35:53.711277Z,137333002,0.00099255,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799761081,BTC-USD,48131.86,54961.08,71009.21106740,44888.08,55043.63,854297.45136687,48122.24,48131.86,buy,2021-02-23T21:35:54.142327Z,137333004,0.00258309,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799761387,BTC-USD,48129.67,54961.08,71009.22760297,44888.08,55043.63,854297.46790244,48124.56,48132.87,buy,2021-02-23T21:35:54.537859Z,137333005,0.01653557,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799761410,BTC-USD,48133.15,54961.08,71009.33869524,44888.08,55043.63,854297.57899471,48124.56,48133.15,buy,2021-02-23T21:35:54.568893Z,137333008,0.02035979,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799761448,BTC-USD,48130.61,54961.08,71009.33968786,44888.08,55043.63,854297.57998733,48125.50,48130.61,buy,2021-02-23T21:35:54.627059Z,137333009,0.00099262,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799761554,BTC-USD,48137.08,54961.08,71009.34007037,44888.08,55043.63,854297.58036984,48130.30,48137.08,buy,2021-02-23T21:35:54.796895Z,137333010,0.00038251,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799761747,BTC-USD,48136.67,54961.08,71009.34055641,44888.08,55043.63,854297.58085588,48132.31,48136.67,buy,2021-02-23T21:35:55.123595Z,137333011,0.00048604,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799761768,BTC-USD,48136.82,54961.08,71009.36092820,44888.08,55043.63,854297.60122767,48129.55,48136.82,buy,2021-02-23T21:35:55.142239Z,137333012,0.02037179,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799761800,BTC-USD,48129.54,54961.08,71009.36531176,44888.08,55043.63,854297.60561123,48129.54,48130.51,sell,2021-02-23T21:35:55.181177Z,137333013,0.00438356,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799761856,BTC-USD,48132.24,54961.08,71009.36630887,44888.08,55043.63,854297.60660834,48128.25,48132.24,buy,2021-02-23T21:35:55.361858Z,137333014,0.00099711,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
